Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
334,4808.761581229866,210984.92598848164,0.0,0.0,33309,41,2974.994081704967,0.09125950187444687
335,9677.2928912995,210385.79612807336,0.0,0.0,33409,85,5662.362148496214,0.09122200310230255
336,14543.372093653525,209804.66133865368,0.0,0.0,33509,131,8616.186477360137,0.09118450433015823
337,19407.015167567122,209241.3546931771,0.0,0.0,33609,178,11676.230866594455,0.09114699810743332
338,24264.63896772442,208695.70066448845,0.0,0.0,33709,222,14677.540411368205,0.091109499335289
339,29125.70212208842,208167.55360995198,0.0,0.0,33809,265,17579.237289949193,0.09107200056314468
340,33972.78392113901,207656.71850822525,0.0,0.0,33909,307,20719.62573813222,0.09103450179100037
341,38829.528048928594,207163.07175249627,0.0,0.0,34009,350,23730.33216500858,0.09099700301885605
342,43668.46242051819,206686.41108388995,0.0,0.0,34109,386,26925.40729074852,0.09095950424671173
343,48508.21221550508,206226.59073834235,0.0,0.0,34209,423,30124.487743902777,0.09092199802398682
344,53377.392917592435,205783.54958523874,0.0,0.0,34309,469,32977.162568506305,0.0908844992518425
345,58217.60623320173,205357.05841948136,0.0,0.0,34409,505,36063.726322796974,0.09084700047969818
346,63071.34043076067,204947.01312268391,0.0,0.0,34509,546,39021.39441586608,0.09080950170755386
347,67937.35242495,204553.3072011387,0.0,0.0,34609,590,41786.189734787564,0.09077200293540955
348,72788.9927890169,204175.75902230744,0.0,0.0,34709,629,44701.344241919265,0.09073450416326523
349,77638.43367655942,203814.22380703382,0.0,0.0,34809,669,47817.84334635257,0.09069699794054031
350,82503.20818023171,203468.60837789768,0.0,0.0,34909,716,50913.887992688324,0.090659499168396
351,87367.68979729111,203138.77622283914,0.0,0.0,35009,759,53729.59033291639,0.09062200039625168
352,92189.07262074451,202824.47111348473,0.0,0.0,35109,789,57154.309506240876,0.09058450162410736
353,97039.3872100445,202525.64319285355,0.0,0.0,35209,825,60143.2629920659,0.09054700285196304
