Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
0,4800.75415095495,4800.75415095495,0.0,0.0,99,42,6794.64785824595,1.0,77.5725284435982
1,4839.70057969584,7220.60444080287,0.0,0.0,199,37,6970.3184469702455,1.0,85.61789091371809
2,4847.519758508868,9643.061123588466,0.0,0.0,299,37,6711.494206648687,1.0,79.8939054253726
3,4855.135129352273,12068.073247319337,0.0,0.0,399,43,6895.564828238146,1.0,73.43765857956845
4,4849.98464268824,14493.0774500955,0.0,0.0,499,40,6670.005279222978,1.0,75.47616010370093
5,4866.084856402431,16920.761061346686,0.0,0.0,599,47,6767.09215279491,1.0,63.15689524965389
6,4822.440658597225,19343.74087775428,0.0,0.0,699,32,6767.55540269858,1.0,105.06133105562468
7,4850.875699056531,21767.33520244204,0.0,0.0,799,40,6826.708891897356,1.0,78.81343845952078
8,4866.686931031334,24193.096002869333,0.0,0.0,899,46,6943.9897327352965,1.0,64.87886034832327
9,4866.758980644991,26620.38054127567,0.0,0.0,999,44,6549.237622745243,1.0,64.76451874098952
10,4856.514874443521,29047.84197037572,0.0,0.0,1099,44,6722.170717937789,1.0,70.94685805206122
11,4834.694932944207,31473.61773903777,0.0,0.0,1199,35,6760.477183993961,1.0,91.7082238441701
12,4857.356764497432,33899.84006363624,0.0,0.0,1299,44,6506.65751959317,1.0,70.18096729793548
13,4853.702774987432,36326.1522543626,0.0,0.0,1399,44,6874.427185092149,1.0,71.86485035255001
14,4858.328491944834,38752.84471912177,0.0,0.0,1499,42,6782.942291225154,1.0,69.89425796538143
15,4830.2605451699055,41178.09190985916,0.0,0.0,1599,32,6721.875684312933,1.0,98.77477423741584
16,4846.633330816985,43603.11197996961,0.0,0.0,1699,40,6698.569647001086,1.0,79.70275797303675
17,4876.453971017414,46029.59948512432,0.0,0.0,1799,48,6726.349355381141,1.0,58.1404426793462
18,4868.778267887785,48456.9187406779,0.0,0.0,1899,47,6634.623695571898,1.0,62.07322961559003
19,4863.436769156338,50884.677909133934,0.0,0.0,1999,44,6191.240973777456,1.0,65.83828068569379
20,4863.438730419977,53312.81423918558,0.0,0.0,2099,44,6570.7964180078125,1.0,64.54593624161598
21,4858.33331801607,55741.04423550599,0.0,0.0,2199,43,6654.469497506266,1.0,68.53445228332465
22,4833.153805867536,58168.26091935799,0.0,0.0,2299,35,6072.479717819749,1.0,94.06305012258942
23,4867.995434000157,60596.04268930567,0.0,0.0,2399,45,6387.005926965328,1.0,62.38771641480336
24,4829.650055919527,63022.78791989432,0.0,0.0,2499,33,6173.913389334027,1.0,96.55469195593932
25,4854.34426464104,65449.56598907772,0.0,0.0,2599,43,6131.6052180734205,1.0,70.59261983090086
26,4850.589840062123,67876.23419536094,0.0,0.0,2699,41,6237.094044859878,1.0,74.05705879368108
