Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
0,4768.267684405405,4768.267684405405,0.0,0.0,99,45,5726.086373336449,1.0,127.24636385192107
1,4792.895727244219,7164.715548027514,0.0,0.0,199,38,6138.293718722772,1.0,161.53404522954662
2,4813.1370828283325,9567.910530177662,0.0,0.0,299,37,4788.815828019908,1.0,129.42745481134887
3,4813.7013643702485,11972.9333623453,0.0,0.0,399,44,5740.3688110381445,1.0,130.4629275235942
4,4821.34076594792,14380.215214835462,0.0,0.0,499,42,4697.244411456264,1.0,111.83915265372056
5,4830.3233989613655,16790.12368298913,0.0,0.0,599,50,5103.538926849073,1.0,102.07077853698144
6,4792.277833512548,19196.097993600688,0.0,0.0,699,38,6379.167815784465,1.0,167.87283725748594
7,4808.4678810423065,21601.63721168965,0.0,0.0,799,40,5225.408966131858,1.0,130.63522415329643
8,4824.166730370889,24008.63068468893,0.0,0.0,899,49,5915.989912132631,1.0,120.73448800270675
9,4820.376571775079,26416.26312026588,0.0,0.0,999,42,5176.980692111814,1.0,123.2614450502813
10,4809.59854287513,28823.3804350902,0.0,0.0,1099,39,5311.723331583191,1.0,136.19803414315874
11,4805.871339365527,31229.8008090576,0.0,0.0,1199,36,4920.223201893263,1.0,136.67286671925729
12,4819.087812049162,33636.70172641841,0.0,0.0,1299,44,5492.456363692647,1.0,124.82855372028745
13,4820.8375474448985,36044.105194688025,0.0,0.0,1399,45,5342.793682098476,1.0,118.72874849107724
14,4821.614764149941,38451.96251813169,0.0,0.0,1499,46,5395.772510642142,1.0,117.29940240526396
15,4801.480058017012,40858.93017977096,0.0,0.0,1599,40,5997.068309069073,1.0,149.92670772672682
16,4815.040248274192,43265.96283699821,0.0,0.0,1699,43,5523.383686283225,1.0,128.45078340193547
17,4832.069697011451,45673.99573770084,0.0,0.0,1799,46,4781.747887873804,1.0,103.95104104073486
18,4820.129475369176,48082.24251598052,0.0,0.0,1899,43,5095.979520904686,1.0,118.51115164894618
19,4827.830647988551,50491.05614883166,0.0,0.0,1999,47,4947.832994505283,1.0,105.2730424362826
20,4824.716186156089,52900.20734932346,0.0,0.0,2099,45,5266.600486284398,1.0,117.03556636187552
21,4822.362687686953,55309.543108301776,0.0,0.0,2199,46,5243.552109921235,1.0,113.99026325915727
22,4799.4109987681295,57718.04145340233,0.0,0.0,2299,36,5347.911332966483,1.0,148.55309258240231
23,4829.57841583823,60127.0640370711,0.0,0.0,2399,48,4951.361725559924,1.0,103.15336928249842
24,4800.696296464201,62535.392665904925,0.0,0.0,2499,35,5273.939195455154,1.0,150.6839770130044
25,4814.564100070638,64943.64078867734,0.0,0.0,2599,44,5432.884933413356,1.0,123.47465757757628
26,4810.727793165686,67351.67526506534,0.0,0.0,2699,39,5169.864380030922,1.0,132.560625128998
27,4816.388635959869,69759.7211587099,0.0,0.0,2799,42,5338.355185052176,1.0,127.10369488219467
28,4839.336236628064,72168.5685850903,0.0,0.0,2899,54,5485.451157774311,1.0,101.58242884767242
29,4814.592214174831,74577.31259018448,0.0,0.0,2999,44,5663.874869025458,1.0,128.72442884148768
30,4819.233681672835,76986.11290726204,0.0,0.0,3099,44,5243.804870018124,1.0,119.17738340950282
31,4821.94958544703,79395.04912906748,0.0,0.0,3199,44,5101.652883453062,1.0,115.94665644211504
